# Miscellaneous Symbols and Arrows 02B00 - 02BFF
2BA6	leftwardsTriangleheadedArrowWithLongTipDownwards 	LEFTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP DOWNWARDS
2BA7	rightwardsTriangleheadedArrowWithLongTipDownwards 	RIGHTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP DOWNWARDS
2BA8	blackCurvedDownwardsAndLeftwardsArrow	BLACK CURVED DOWNWARDS AND LEFTWARDS ARROW
2BA9	blackCurvedDownwardsAndRightwardsArrow	BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
2BAA	blackCurvedUpwardsAndLeftwardsArrow	BLACK CURVED UPWARDS AND LEFTWARDS ARROW
2BAB	blackCurvedUpwardsAndRightwardsArrow	BLACK CURVED UPWARDS AND RIGHTWARDS ARROW
2BAC	blackCurvedLeftwardsAndUpwardsArrow	BLACK CURVED LEFTWARDS AND UPWARDS ARROW
2BAD	blackCurvedRightwardsAndUpwardsArrow	BLACK CURVED RIGHTWARDS AND UPWARDS ARROW
2BAE	blackCurvedLeftwardsAndDownwardsArrow	BLACK CURVED LEFTWARDS AND DOWNWARDS ARROW
2BAF	blackCurvedRightwardsAndDownwardsArrow	BLACK CURVED RIGHTWARDS AND DOWNWARDS ARROW
2BB0	ribbonArrowDownLeft	RIBBON ARROW DOWN LEFT
2BB1	ribbonArrowDownRight	RIBBON ARROW DOWN RIGHT
2BB2	ribbonArrowUpLeft	RIBBON ARROW UP LEFT
2BB3	ribbonArrowUpRight	RIBBON ARROW UP RIGHT
2BB4	ribbonArrowLeftUp	RIBBON ARROW LEFT UP
2BB5	ribbonArrowRightUp	RIBBON ARROW RIGHT UP
2BB6	ribbonArrowLeftDown	RIBBON ARROW LEFT DOWN
2BB7	ribbonArrowRightDown	RIBBON ARROW RIGHT DOWN
2BB8	upwardsWhiteArrowFromBarWithHorizontalBar	UPWARDS WHITE ARROW FROM BAR WITH HORIZONTAL BAR
2BB9	upArrowheadInARectangleBox	UP ARROWHEAD IN A RECTANGLE BOX
2BBA	overlappingWhiteSquares	OVERLAPPING WHITE SQUARES
2BBB	overlappingWhiteAndBlackSquares	OVERLAPPING WHITE AND BLACK SQUARES
2BBC	overlappingBlackSquares	OVERLAPPING BLACK SQUARES
2BBD	ballotBoxWithLightX	BALLOT BOX WITH LIGHT X
2BBE	circledX	CIRCLED X
2BBF	circledBoldX	CIRCLED BOLD X
2BC0	blackSquareCentred	BLACK SQUARE CENTRED
2BC1	blackDiamondCentred	BLACK DIAMOND CENTRED
2BC2	turnedBlackPentagon	TURNED BLACK PENTAGON
2BC3	horizontalBlackOctagon	HORIZONTAL BLACK OCTAGON
2BC4	blackOctagon	BLACK OCTAGON
2BC5	blackMediumUppointingTriangleCentred 	BLACK MEDIUM UP-POINTING TRIANGLE CENTRED
2BC6	blackMediumDownpointingTriangleCentred 	BLACK MEDIUM DOWN-POINTING TRIANGLE CENTRED
2BC7	blackMediumLeftpointingTriangleCentred 	BLACK MEDIUM LEFT-POINTING TRIANGLE CENTRED
2BC8	blackMediumRightpointingTriangleCentred 	BLACK MEDIUM RIGHT-POINTING TRIANGLE CENTRED
2BC9	neptuneFormTwo	NEPTUNE FORM TWO
2BCA	topHalfBlackCircle	TOP HALF BLACK CIRCLE
2BCB	bottomHalfBlackCircle	BOTTOM HALF BLACK CIRCLE
2BCC	lightFourPointedBlackCusp	LIGHT FOUR POINTED BLACK CUSP
2BCD	rotatedLightFourPointedBlackCusp	ROTATED LIGHT FOUR POINTED BLACK CUSP
2BCE	whiteFourPointedCusp	WHITE FOUR POINTED CUSP
2BCF	rotatedWhiteFourPointedCusp	ROTATED WHITE FOUR POINTED CUSP
2BD0	squarePositionIndicator	SQUARE POSITION INDICATOR
2BD1	uncertaintySign	UNCERTAINTY SIGN
2BD2	groupMark	GROUP MARK
2BD3	plutoFormTwo	PLUTO FORM TWO
2BD4	plutoFormThree	PLUTO FORM THREE
2BD5	plutoFormFour	PLUTO FORM FOUR
2BD6	plutoFormFive	PLUTO FORM FIVE
2BD7	transpluto	TRANSPLUTO
2BD8	proserpina	PROSERPINA
2BD9	astraea	ASTRAEA
2BDA	hygiea	HYGIEA
2BDB	pholus	PHOLUS
2BDC	nessus	NESSUS
2BDD	whiteMoonSelena	WHITE MOON SELENA
2BDE	blackDiamondOnCross	BLACK DIAMOND ON CROSS
2BDF	trueLightMoonArta	TRUE LIGHT MOON ARTA
2BE0	cupido	CUPIDO
2BE1	hades	HADES
2BE2	zeus	ZEUS
2BE3	kronos	KRONOS
2BE4	apollon	APOLLON
2BE5	admetos	ADMETOS
