# Supplemental Mathematical Operators 02A00 - 02AFF
2AB4	succeedsAboveEqualsSign	SUCCEEDS ABOVE EQUALS SIGN
2AB5	precedesAboveNotEqualTo	PRECEDES ABOVE NOT EQUAL TO
2AB6	succeedsAboveNotEqualTo	SUCCEEDS ABOVE NOT EQUAL TO
2AB7	precedesAboveAlmostEqualTo	PRECEDES ABOVE ALMOST EQUAL TO
2AB8	succeedsAboveAlmostEqualTo	SUCCEEDS ABOVE ALMOST EQUAL TO
2AB9	precedesAboveNotAlmostEqualTo	PRECEDES ABOVE NOT ALMOST EQUAL TO
2ABA	succeedsAboveNotAlmostEqualTo	SUCCEEDS ABOVE NOT ALMOST EQUAL TO
2ABB	doublePrecedes	DOUBLE PRECEDES
2ABC	doubleSucceeds	DOUBLE SUCCEEDS
2ABD	subsetWithDot	SUBSET WITH DOT
2ABE	supersetWithDot	SUPERSET WITH DOT
2ABF	subsetWithPlusSignBelow	SUBSET WITH PLUS SIGN BELOW
2AC0	supersetWithPlusSignBelow	SUPERSET WITH PLUS SIGN BELOW
2AC1	subsetWithMultiplicationSignBelow	SUBSET WITH MULTIPLICATION SIGN BELOW
2AC2	supersetWithMultiplicationSignBelow	SUPERSET WITH MULTIPLICATION SIGN BELOW
2AC3	subsetOfOrEqualToWithDotAbove	SUBSET OF OR EQUAL TO WITH DOT ABOVE
2AC4	supersetOfOrEqualToWithDotAbove	SUPERSET OF OR EQUAL TO WITH DOT ABOVE
2AC5	subsetOfAboveEqualsSign	SUBSET OF ABOVE EQUALS SIGN
2AC6	supersetOfAboveEqualsSign	SUPERSET OF ABOVE EQUALS SIGN
2AC7	subsetOfAboveTildeOperator	SUBSET OF ABOVE TILDE OPERATOR
2AC8	supersetOfAboveTildeOperator	SUPERSET OF ABOVE TILDE OPERATOR
2AC9	subsetOfAboveAlmostEqualTo	SUBSET OF ABOVE ALMOST EQUAL TO
2ACA	supersetOfAboveAlmostEqualTo	SUPERSET OF ABOVE ALMOST EQUAL TO
2ACB	subsetOfAboveNotEqualTo	SUBSET OF ABOVE NOT EQUAL TO
2ACC	supersetOfAboveNotEqualTo	SUPERSET OF ABOVE NOT EQUAL TO
2ACD	squareLeftOpenBoxOperator	SQUARE LEFT OPEN BOX OPERATOR
2ACE	squareRightOpenBoxOperator	SQUARE RIGHT OPEN BOX OPERATOR
2ACF	closedSubset	CLOSED SUBSET
2AD0	closedSuperset	CLOSED SUPERSET
2AD1	closedSubsetOrEqualTo	CLOSED SUBSET OR EQUAL TO
2AD2	closedSupersetOrEqualTo	CLOSED SUPERSET OR EQUAL TO
2AD3	subsetAboveSuperset	SUBSET ABOVE SUPERSET
2AD4	supersetAboveSubset	SUPERSET ABOVE SUBSET
2AD5	subsetAboveSubset	SUBSET ABOVE SUBSET
2AD6	supersetAboveSuperset	SUPERSET ABOVE SUPERSET
2AD7	supersetBesideSubset	SUPERSET BESIDE SUBSET
2AD8	supersetBesideAndJoinedByDashWithSubset	SUPERSET BESIDE AND JOINED BY DASH WITH SUBSET
2AD9	elementOfOpeningDownwards	ELEMENT OF OPENING DOWNWARDS
2ADA	pitchforkWithTeeTop	PITCHFORK WITH TEE TOP
2ADB	transversalIntersection	TRANSVERSAL INTERSECTION
2ADC	forking	FORKING
2ADD	nonforking	NONFORKING
2ADE	shortLeftTack	SHORT LEFT TACK
2ADF	shortDownTack	SHORT DOWN TACK
2AE0	shortUpTack	SHORT UP TACK
2AE1	perpendicularWithS	PERPENDICULAR WITH S
2AE2	verticalBarTripleRightTurnstile	VERTICAL BAR TRIPLE RIGHT TURNSTILE
2AE3	doubleVerticalBarLeftTurnstile	DOUBLE VERTICAL BAR LEFT TURNSTILE
2AE4	verticalBarDoubleLeftTurnstile	VERTICAL BAR DOUBLE LEFT TURNSTILE
2AE5	doubleVerticalBarDoubleLeftTurnstile	DOUBLE VERTICAL BAR DOUBLE LEFT TURNSTILE
2AE6	longDashFromLeftMemberOfDoubleVertical	LONG DASH FROM LEFT MEMBER OF DOUBLE VERTICAL
2AE7	shortDownTackWithOverbar	SHORT DOWN TACK WITH OVERBAR
2AE8	shortUpTackWithUnderbar	SHORT UP TACK WITH UNDERBAR
2AE9	shortUpTackAboveShortDownTack	SHORT UP TACK ABOVE SHORT DOWN TACK
2AEA	doubleDownTack	DOUBLE DOWN TACK
2AEB	doubleUpTack	DOUBLE UP TACK
2AEC	doubleStrokeNotSign	DOUBLE STROKE NOT SIGN
2AED	reversedDoubleStrokeNotSign	REVERSED DOUBLE STROKE NOT SIGN
2AEE	doesNotDivideWithReversedNegationSlash	DOES NOT DIVIDE WITH REVERSED NEGATION SLASH
2AEF	verticalLineWithCircleAbove	VERTICAL LINE WITH CIRCLE ABOVE
2AF0	verticalLineWithCircleBelow	VERTICAL LINE WITH CIRCLE BELOW
2AF1	downTackWithCircleBelow	DOWN TACK WITH CIRCLE BELOW
2AF2	parallelWithHorizontalStroke	PARALLEL WITH HORIZONTAL STROKE
2AF3	parallelWithTildeOperator	PARALLEL WITH TILDE OPERATOR
2AF4	tripleVerticalBarBinaryRelation	TRIPLE VERTICAL BAR BINARY RELATION
2AF5	tripleVerticalBarWithHorizontalStroke	TRIPLE VERTICAL BAR WITH HORIZONTAL STROKE
2AF6	tripleColonOperator	TRIPLE COLON OPERATOR
2AF7	tripleNestedLessthan 	TRIPLE NESTED LESS-THAN
2AF8	tripleNestedGreaterthan 	TRIPLE NESTED GREATER-THAN
2AF9	doublelineSlantedLessthanOrEqualTo 	DOUBLE-LINE SLANTED LESS-THAN OR EQUAL TO
2AFA	doublelineSlantedGreaterthanOrEqualTo 	DOUBLE-LINE SLANTED GREATER-THAN OR EQUAL TO
2AFB	tripleSolidusBinaryRelation	TRIPLE SOLIDUS BINARY RELATION
2AFC	largeTripleVerticalBarOperator	LARGE TRIPLE VERTICAL BAR OPERATOR
2AFD	doubleSolidusOperator	DOUBLE SOLIDUS OPERATOR
2AFE	whiteVerticalBar	WHITE VERTICAL BAR
2AFF	naryWhiteVerticalBar 	N-ARY WHITE VERTICAL BAR
